ObjectID,AccessionNumber,MediaXrefID,ImageURL,Filename,MediaType,MediaView,Rank,IsPrimary
28476,1991.68.21,19421,https://art.thewalters.org/images/raw/PS3_1991.68.21_Fnt_DD_JP09.jpg,PS3_1991.68.21_Fnt_DD_JP09.jpg,Image,Front,1,1
15401,1991.68.23,19422,https://art.thewalters.org/images/raw/PS3_1991.68.23_Fnt_DD_JP09.jpg,PS3_1991.68.23_Fnt_DD_JP09.jpg,Image,Front,1,1
190,1991.68.24,19423,https://art.thewalters.org/images/raw/PS3_1991.68.24_Fnt_DD_JP09.jpg,PS3_1991.68.24_Fnt_DD_JP09.jpg,Image,Front,1,1
7075,1991.68.25,19424,https://art.thewalters.org/images/raw/PS3_1991.68.25_Fnt_DD_JP09.jpg,PS3_1991.68.25_Fnt_DD_JP09.jpg,Image,Front,1,1
4315,1991.68.26,19425,https://art.thewalters.org/images/raw/PS3_1991.68.26_Fnt_DD_JP09.jpg,PS3_1991.68.26_Fnt_DD_JP09.jpg,Image,Front,1,1
31337,1991.68.27,19426,https://art.thewalters.org/images/raw/PS3_1991.68.27_Fnt_DD_JP09.jpg,PS3_1991.68.27_Fnt_DD_JP09.jpg,Image,Front,1,1
2744,1991.68.28,19427,https://art.thewalters.org/images/raw/PS3_1991.68.28_Fnt_DD_JP09.jpg,PS3_1991.68.28_Fnt_DD_JP09.jpg,Image,Front,1,1
38412,1991.68.3,19428,https://art.thewalters.org/images/raw/PS3_1991.68.3_Fnt_DD_JP09.jpg,PS3_1991.68.3_Fnt_DD_JP09.jpg,Image,Front,1,1
32599,1991.68.4,19429,https://art.thewalters.org/images/raw/PS3_1991.68.4_Fnt_DD_JP09.jpg,PS3_1991.68.4_Fnt_DD_JP09.jpg,Image,Front,1,1
4537,1991.68.5,19430,https://art.thewalters.org/images/raw/PS3_1991.68.5_Fnt_DD_JP09.jpg,PS3_1991.68.5_Fnt_DD_JP09.jpg,Image,Front,1,1
30989,1991.68.6,19431,https://art.thewalters.org/images/raw/PS3_1991.68.6_Fnt_DD_JP09.jpg,PS3_1991.68.6_Fnt_DD_JP09.jpg,Image,Front,1,1
12326,1991.68.7,19432,https://art.thewalters.org/images/raw/PS3_1991.68.7_Fnt_DD_JP09.jpg,PS3_1991.68.7_Fnt_DD_JP09.jpg,Image,Front,1,1
25514,1991.68.8,19433,https://art.thewalters.org/images/raw/PS3_1991.68.8_Fnt_DD_JP09.jpg,PS3_1991.68.8_Fnt_DD_JP09.jpg,Image,Front,1,1
13280,1991.68.9,19434,https://art.thewalters.org/images/raw/PS3_1991.68.9_Fnt_DD_JP09.jpg,PS3_1991.68.9_Fnt_DD_JP09.jpg,Image,Front,1,1
